respID,qID,altID,obsID,price,quantity,material,setOptions,image,setOptions2
1,1,1,1,20,150,Bamboo,f,Bamboof.jpg, a fork only.
1,1,2,1,25,50,Eco,f,Ecof.jpg, a fork only.
1,1,3,1,30,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
1,2,1,2,30,150,Bamboo,f,Bamboof.jpg, a fork only.
1,2,2,2,25,200,Eco,f,Ecof.jpg, a fork only.
1,2,3,2,30,150,Plastic,fk,Plasticfk.jpg, a fork and a knife.
1,3,1,3,30,50,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,3,2,3,20,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,3,3,3,30,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
1,4,1,4,25,200,Bamboo,f,Bamboof.jpg, a fork only.
1,4,2,4,25,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,4,3,4,20,50,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
1,5,1,5,20,200,Bamboo,f,Bamboof.jpg, a fork only.
1,5,2,5,30,200,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,5,3,5,20,200,Plastic,fk,Plasticfk.jpg, a fork and a knife.
1,6,1,6,20,150,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
1,6,2,6,30,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,6,3,6,25,50,Plastic,fk,Plasticfk.jpg, a fork and a knife.
1,7,1,7,30,150,Bamboo,f,Bamboof.jpg, a fork only.
1,7,2,7,30,50,Eco,f,Ecof.jpg, a fork only.
1,7,3,7,20,50,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
1,8,1,8,30,50,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,8,2,8,20,50,Eco,f,Ecof.jpg, a fork only.
1,8,3,8,20,50,Plastic,f,Plasticf.jpg, a fork only.
2,1,1,9,20,150,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
2,1,2,9,20,50,Eco,f,Ecof.jpg, a fork only.
2,1,3,9,20,150,Plastic,fk,Plasticfk.jpg, a fork and a knife.
2,2,1,10,20,200,Bamboo,f,Bamboof.jpg, a fork only.
2,2,2,10,25,150,Eco,fk,Ecofk.jpg, a fork and a knife.
2,2,3,10,25,150,Plastic,f,Plasticf.jpg, a fork only.
2,3,1,11,20,200,Bamboo,f,Bamboof.jpg, a fork only.
2,3,2,11,25,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
2,3,3,11,20,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
2,4,1,12,20,200,Bamboo,f,Bamboof.jpg, a fork only.
2,4,2,12,20,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
2,4,3,12,20,150,Plastic,fk,Plasticfk.jpg, a fork and a knife.
2,5,1,13,25,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
2,5,2,13,30,50,Eco,fk,Ecofk.jpg, a fork and a knife.
2,5,3,13,20,50,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
2,6,1,14,20,150,Bamboo,f,Bamboof.jpg, a fork only.
2,6,2,14,25,50,Eco,f,Ecof.jpg, a fork only.
2,6,3,14,30,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
2,7,1,15,25,50,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
2,7,2,15,20,50,Eco,f,Ecof.jpg, a fork only.
2,7,3,15,20,50,Plastic,f,Plasticf.jpg, a fork only.
2,8,1,16,30,50,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
2,8,2,16,20,50,Eco,f,Ecof.jpg, a fork only.
2,8,3,16,20,200,Plastic,fk,Plasticfk.jpg, a fork and a knife.
3,1,1,17,25,200,Bamboo,f,Bamboof.jpg, a fork only.
3,1,2,17,30,200,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
3,1,3,17,20,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
3,2,1,18,25,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
3,2,2,18,30,50,Eco,fk,Ecofk.jpg, a fork and a knife.
3,2,3,18,20,200,Plastic,fk,Plasticfk.jpg, a fork and a knife.
3,3,1,19,25,200,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
3,3,2,19,30,200,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
3,3,3,19,30,150,Plastic,f,Plasticf.jpg, a fork only.
3,4,1,20,30,150,Bamboo,f,Bamboof.jpg, a fork only.
3,4,2,20,25,200,Eco,f,Ecof.jpg, a fork only.
3,4,3,20,20,50,Plastic,f,Plasticf.jpg, a fork only.
3,5,1,21,20,200,Bamboo,f,Bamboof.jpg, a fork only.
3,5,2,21,25,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
3,5,3,21,25,50,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
3,6,1,22,30,50,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
3,6,2,22,30,50,Eco,f,Ecof.jpg, a fork only.
3,6,3,22,20,150,Plastic,fk,Plasticfk.jpg, a fork and a knife.
3,7,1,23,20,150,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
3,7,2,23,25,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
3,7,3,23,25,50,Plastic,fk,Plasticfk.jpg, a fork and a knife.
3,8,1,24,20,150,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
3,8,2,24,30,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
3,8,3,24,20,50,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
4,1,1,25,30,200,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
4,1,2,25,30,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
4,1,3,25,30,200,Plastic,f,Plasticf.jpg, a fork only.
4,2,1,26,20,150,Bamboo,f,Bamboof.jpg, a fork only.
4,2,2,26,30,200,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
4,2,3,26,25,150,Plastic,f,Plasticf.jpg, a fork only.
4,3,1,27,30,50,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
4,3,2,27,25,200,Eco,fk,Ecofk.jpg, a fork and a knife.
4,3,3,27,25,50,Plastic,fk,Plasticfk.jpg, a fork and a knife.
4,4,1,28,20,150,Bamboo,f,Bamboof.jpg, a fork only.
4,4,2,28,20,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
4,4,3,28,30,200,Plastic,f,Plasticf.jpg, a fork only.
4,5,1,29,25,50,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
4,5,2,29,30,50,Eco,fk,Ecofk.jpg, a fork and a knife.
4,5,3,29,30,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
